"BUREAU_DE_VOTE","INSCRITS","PROCURATIONS","VOTANTS","NULS","EXPRIMES","FOURAGE","COMBARNOUS","AYRAULT","BREUS","BLINEAU","JOZAN","DEFRANCE"
" 0707 - Bureau de vote 0707","1311","12","559","7","552","28","3","360","8","33","100","20"
" 0708 - Bureau de vote 0708","833","2","385","3","382","15","1","243","7","17","89","10"
" 0709 - Bureau de vote 0709","923","1","465","10","455","23","5","308","3","15","93","8"
" 0710 - Bureau de vote 0710","827","6","415","8","407","27","4","290","11","18","52","5"
" 0711 - Bureau de vote 0711","763","15","522","10","512","14","5","274","6","34","175","4"
" 0712 - Bureau de vote 0712","841","2","463","8","455","21","6","276","6","34","108","4"
" 0713 - Bureau de vote 0713","1064","19","652","14","638","20","14","310","9","61","218","6"
" 0714 - Bureau de vote 0714","732","12","398","7","391","15","10","226","3","31","102","4"
" 0715 - Bureau de vote 0715","772","16","464","6","458","13","6","267","7","43","113","9"
" 0801 - Bureau de vote 0801","714","1","390","11","379","9","6","242","6","19","84","13"
" 0802 - Bureau de vote 0802","738","1","345","2","343","16","2","242","4","8","64","7"
" 0803 - Bureau de vote 0803","764","10","428","8","420","12","4","255","8","29","108","4"
" 0804 - Bureau de vote 0804","870","15","481","6","475","20","7","267","4","25","145","7"
" 0805 - Bureau de vote 0805","655","14","408","3","405","5","3","176","4","39","175","3"
" 0806 - Bureau de vote 0806","599","4","358","5","353","12","5","169","3","30","132","2"
" 0807 - Bureau de vote 0807","1067","17","662","7","655","19","7","368","5","67","183","6"
" 0808 - Bureau de vote 0808","1187","23","689","16","673","24","8","360","4","65","202","10"
" 0809 - Bureau de vote 0809","843","9","401","10","391","11","1","276","3","22","73","5"
" 0810 - Bureau de vote 0810","815","7","492","15","477","18","3","323","4","26","91","12"
" 0811 - Bureau de vote 0811","1063","7","581","20","561","21","1","378","6","31","106","18"
" 0812 - Bureau de vote 0812","1000","11","608","14","594","33","4","369","4","37","140","7"
" 0813 - Bureau de vote 0813","838","3","301","10","291","20","3","220","2","7","28","11"
" 0814 - Bureau de vote 0814","1141","13","691","12","679","24","4","435","11","50","145","10"
" 0815 - Bureau de vote 0815","952","13","573","6","567","29","6","381","1","44","96","10"
" 0816 - Bureau de vote 0816","671","8","399","9","390","11","4","227","6","26","110","6"
" 0817 - Bureau de vote 0817","983","13","520","12","508","25","4","291","8","25","148","7"
" 0818 - Bureau de vote 0818","988","12","535","17","518","18","4","315","3","37","137","4"
" 0819 - Bureau de vote 0819","849","11","483","12","471","30","4","335","7","13","70","12"
" 0820 - Bureau de vote 0820","871","9","547","11","536","17","1","267","4","55","186","6"
" 0901 - Bureau de vote 0901","834","9","452","5","447","23","5","247","3","21","140","8"
" 0902 - Bureau de vote 0902","875","9","486","12","474","15","10","241","2","42","153","11"
" 0903 - Bureau de vote 0903","848","12","476","6","470","19","4","252","5","47","137","6"
" 0904 - Bureau de vote 0904","766","13","497","6","491","5","3","245","0","41","194","3"
" 0905 - Bureau de vote 0905","665","8","354","5","349","8","2","240","2","12","79","6"
" 0906 - Bureau de vote 0906","1008","4","421","8","413","17","1","293","5","14","72","11"
" 0907 - Bureau de vote 0907","990","14","539","8","531","16","8","341","7","37","110","12"
" 0908 - Bureau de vote 0908","723","1","311","4","307","19","2","225","6","8","40","7"
" 0909 - Bureau de vote 0909","759","5","353","8","345","14","8","261","3","6","48","5"
