"BUREAU_DE_VOTE","INSCRITS","PROCURATIONS","VOTANTS","NULS","EXPRIMES","SARKOZY","HOLLANDE"
" 0711 - Bureau de vote 0711","761","38","659","31","628","283","345"
" 0712 - Bureau de vote 0712","793","41","605","23","582","198","384"
" 0713 - Bureau de vote 0713","1042","54","865","39","826","370","456"
" 0714 - Bureau de vote 0714","731","55","606","23","583","225","358"
" 0715 - Bureau de vote 0715","776","64","642","25","617","214","403"
" 0801 - Bureau de vote 0801","643","10","505","27","478","153","325"
" 0802 - Bureau de vote 0802","659","17","483","12","471","110","361"
" 0803 - Bureau de vote 0803","721","33","580","16","564","216","348"
" 0804 - Bureau de vote 0804","900","68","739","27","712","287","425"
" 0805 - Bureau de vote 0805","669","46","568","23","545","293","252"
" 0806 - Bureau de vote 0806","623","26","480","15","465","207","258"
" 0807 - Bureau de vote 0807","1076","78","929","36","893","392","501"
" 0808 - Bureau de vote 0808","1153","74","983","43","940","370","570"
" 0809 - Bureau de vote 0809","793","25","588","32","556","150","406"
" 0810 - Bureau de vote 0810","802","32","651","35","616","197","419"
" 0811 - Bureau de vote 0811","1097","32","864","43","821","227","594"
" 0812 - Bureau de vote 0812","1027","40","851","38","813","290","523"
" 0813 - Bureau de vote 0813","732","23","512","31","481","114","367"
" 0814 - Bureau de vote 0814","1170","52","995","46","949","323","626"
" 0815 - Bureau de vote 0815","1082","48","935","38","897","284","613"
" 0816 - Bureau de vote 0816","725","45","626","19","607","265","342"
" 0817 - Bureau de vote 0817","976","60","795","41","754","265","489"
" 0818 - Bureau de vote 0818","966","52","794","34","760","319","441"
" 0819 - Bureau de vote 0819","817","35","651","34","617","157","460"
" 0820 - Bureau de vote 0820","921","57","798","35","763","370","393"
" 0901 - Bureau de vote 0901","787","39","637","31","606","224","382"
" 0902 - Bureau de vote 0902","821","39","672","24","648","303","345"
" 0903 - Bureau de vote 0903","934","53","752","46","706","269","437"
" 0904 - Bureau de vote 0904","759","43","655","33","622","266","356"
" 0905 - Bureau de vote 0905","624","28","494","24","470","149","321"
" 0906 - Bureau de vote 0906","966","17","670","39","631","166","465"
" 0907 - Bureau de vote 0907","970","37","733","30","703","234","469"
" 0908 - Bureau de vote 0908","718","15","499","25","474","98","376"
" 0909 - Bureau de vote 0909","675","9","459","17","442","81","361"
" 0910 - Bureau de vote 0910","747","32","625","27","598","198","400"
" 0911 - Bureau de vote 0911","878","41","713","35","678","294","384"
" 0912 - Bureau de vote 0912","838","41","686","34","652","198","454"
" 0913 - Bureau de vote 0913","1008","47","866","33","833","227","606"
" 0914 - Bureau de vote 0914","859","47","721","36","685","238","447"
" 0915 - Bureau de vote 0915","812","28","659","23","636","165","471"
" 0916 - Bureau de vote 0916","958","64","854","38","816","267","549"
" 0917 - Bureau de vote 0917","746","41","634","31","603","192","411"
" 0918 - Bureau de vote 0918","1062","56","864","35","829","300","529"
" 0919 - Bureau de vote 0919","858","60","729","26","703","234","469"
" 0920 - Bureau de vote 0920","752","30","624","25","599","153","446"
" 0921 - Bureau de vote 0921","973","72","837","31","806","296","510"
