"BUREAU_DE_VOTE","INSCRITS","PROCURATIONS","VOTANTS","NULS","EXPRIMES","AUXIETTE","BECHU","FLIPPOT","GALLERNEAU","GICQUEL","LE_BELLER","MAGNEN","NEVEUX"
" 0701 - Bureau de vote 0701","750","8","358","2","356","109","93","9","18","18","1","91","17"
" 0702 - Bureau de vote 0702","1052","8","473","9","464","233","56","8","15","31","6","89","26"
" 0703 - Bureau de vote 0703","993","6","508","7","501","219","121","11","23","25","1","76","25"
" 0704 - Bureau de vote 0704","725","1","246","1","245","127","24","7","10","29","4","32","12"
" 0705 - Bureau de vote 0705","725","4","375","6","369","172","60","9","9","23","8","64","24"
" 0706 - Bureau de vote 0706","1059","2","294","6","288","133","32","11","6","28","3","49","26"
" 0707 - Bureau de vote 0707","1243","6","399","13","386","194","50","10","12","32","1","61","26"
" 0708 - Bureau de vote 0708","791","2","285","8","277","119","62","6","10","20","3","40","17"
" 0709 - Bureau de vote 0709","888","1","378","8","370","149","66","16","2","35","3","65","34"
" 0710 - Bureau de vote 0710","817","4","311","8","303","159","31","6","9","26","9","48","15"
" 0711 - Bureau de vote 0711","750","8","431","11","420","135","139","4","13","22","3","78","26"
" 0712 - Bureau de vote 0712","812","5","370","2","368","141","80","14","12","24","4","71","22"
" 0713 - Bureau de vote 0713","1044","15","536","15","521","162","159","14","39","18","3","101","25"
" 0714 - Bureau de vote 0714","716","8","355","1","354","134","83","6","18","29","3","70","11"
" 0715 - Bureau de vote 0715","777","18","398","9","389","154","77","14","17","26","0","85","16"
" 0801 - Bureau de vote 0801","667","2","293","4","289","121","54","1","10","24","3","48","28"
" 0802 - Bureau de vote 0802","699","0","268","3","265","154","28","2","2","20","3","36","20"
" 0803 - Bureau de vote 0803","727","7","336","1","335","132","81","4","11","16","1","77","13"
" 0804 - Bureau de vote 0804","837","5","401","5","396","144","96","8","20","28","5","75","20"
" 0805 - Bureau de vote 0805","643","12","365","5","360","105","150","15","16","10","2","44","18"
" 0806 - Bureau de vote 0806","581","1","283","1","282","97","76","5","23","13","5","43","20"
" 0807 - Bureau de vote 0807","1106","13","600","6","594","208","176","13","28","30","2","120","17"
" 0808 - Bureau de vote 0808","1212","13","580","10","570","217","154","11","32","24","5","103","24"
" 0809 - Bureau de vote 0809","793","2","308","8","300","161","42","9","12","13","5","43","15"
" 0810 - Bureau de vote 0810","809","2","403","13","390","207","64","4","17","15","4","49","30"
" 0811 - Bureau de vote 0811","1051","3","462","9","453","212","75","16","13","37","5","58","37"
" 0812 - Bureau de vote 0812","998","8","486","14","472","216","100","4","16","34","7","68","27"
" 0813 - Bureau de vote 0813","792","1","246","4","242","127","23","10","5","19","6","37","15"
" 0814 - Bureau de vote 0814","1120","16","558","9","549","238","102","8","33","42","8","88","30"
" 0815 - Bureau de vote 0815","944","9","455","10","445","203","64","7","20","36","9","79","27"
" 0816 - Bureau de vote 0816","676","2","338","7","331","137","64","6","13","14","3","74","20"
" 0817 - Bureau de vote 0817","983","23","448","3","445","164","115","7","21","32","5","83","18"
" 0818 - Bureau de vote 0818","965","7","479","2","477","188","114","17","21","26","4","87","20"
" 0819 - Bureau de vote 0819","849","3","359","11","348","182","39","10","11","27","6","59","14"
" 0820 - Bureau de vote 0820","898","5","492","14","478","157","134","9","27","21","6","105","19"
" 0901 - Bureau de vote 0901","792","5","350","4","346","148","85","4","9","35","8","42","15"
" 0902 - Bureau de vote 0902","830","6","398","10","388","131","127","7","29","18","7","51","18"
" 0903 - Bureau de vote 0903","877","8","433","10","423","170","109","8","24","17","2","73","20"
" 0904 - Bureau de vote 0904","773","3","459","2","457","160","149","11","22","19","1","82","13"
" 0905 - Bureau de vote 0905","634","3","303","8","295","132","61","4","6","29","4","49","10"
" 0906 - Bureau de vote 0906","943","4","280","6","274","132","40","6","8","15","7","37","29"
" 0907 - Bureau de vote 0907","967","5","414","11","403","185","71","13","13","29","1","70","21"
" 0908 - Bureau de vote 0908","706","1","214","4","210","130","12","6","5","24","2","18","13"
" 0909 - Bureau de vote 0909","694","3","193","5","188","102","23","5","2","27","4","18","7"
" 0910 - Bureau de vote 0910","751","4","342","7","335","161","47","5","7","12","6","77","20"
" 0911 - Bureau de vote 0911","920","2","427","10","417","188","112","8","11","19","2","57","20"
" 0912 - Bureau de vote 0912","767","0","316","14","302","132","55","8","16","20","9","45","17"
" 0913 - Bureau de vote 0913","929","10","483","9","474","246","61","12","20","38","6","78","13"
" 0914 - Bureau de vote 0914","873","6","471","10","461","194","94","12","14","37","6","77","27"
" 0915 - Bureau de vote 0915","822","1","403","8","395","204","40","7","16","36","8","58","26"
" 0916 - Bureau de vote 0916","971","12","610","8","602","270","120","11","30","36","6","110","19"
" 0917 - Bureau de vote 0917","742","12","413","6","407","182","78","8","18","33","1","65","22"
" 0918 - Bureau de vote 0918","1057","7","503","10","493","196","100","12","20","41","10","80","34"
" 0919 - Bureau de vote 0919","848","6","473","8","465","205","94","7","14","29","8","87","21"
" 0920 - Bureau de vote 0920","753","4","398","7","391","202","42","4","9","34","4","73","23"
" 0921 - Bureau de vote 0921","966","5","506","11","495","183","120","8","11","42","5","112","14"
" 0922 - Bureau de vote 0922","1210","15","678","20","658","283","135","18","21","40","4","120","37"
" 0923 - Bureau de vote 0923","834","6","436","9","427","181","101","5","22","24","5","57","32"
" 0924 - Bureau de vote 0924","552","3","246","6","240","113","42","9","8","5","3","47","13"
" 1001 - Bureau de vote 1001","872","1","352","10","342","140","84","7","17","22","5","46","21"
" 1002 - Bureau de vote 1002","808","6","417","3","414","151","109","11","21","23","7","84","8"
" 1003 - Bureau de vote 1003","837","2","294","9","285","166","26","5","4","23","9","40","12"
" 1004 - Bureau de vote 1004","867","5","396","11","385","156","75","6","10","33","4","88","13"
" 1005 - Bureau de vote 1005","737","6","378","3","375","162","72","6","18","16","3","84","14"
" 1006 - Bureau de vote 1006","673","1","346","9","337","146","68","4","14","18","5","68","14"
" 1007 - Bureau de vote 1007","772","4","368","5","363","142","84","6","13","20","4","71","23"
" 1008 - Bureau de vote 1008","696","2","335","6","329","133","76","7","9","21","4","62","17"
" 1009 - Bureau de vote 1009","518","3","243","6","237","87","46","6","8","14","3","67","6"
" 1101 - Bureau de vote 1101","696","6","298","8","290","137","46","10","7","24","2","43","21"
" 1102 - Bureau de vote 1102","907","3","334","7","327","145","55","11","14","23","2","64","13"
" 1103 - Bureau de vote 1103","779","10","405","11","394","148","75","6","12","30","1","104","18"
" 1104 - Bureau de vote 1104","777","4","413","11","402","149","95","7","21","28","0","65","37"
" 1105 - Bureau de vote 1105","686","5","374","7","367","121","140","2","15","18","3","53","15"
" 1106 - Bureau de vote 1106","655","4","350","13","337","128","102","3","12","14","1","60","17"
" 1107 - Bureau de vote 1107","712","6","359","10","349","163","66","6","10","24","3","56","21"
" 1108 - Bureau de vote 1108","678","0","129","3","126","79","9","3","1","15","3","10","6"
" 1109 - Bureau de vote 1109","519","2","199","6","193","99","30","5","7","16","4","26","6"
" 1110 - Bureau de vote 1110","890","3","356","11","345","125","90","9","7","22","6","55","31"
" 1111 - Bureau de vote 1111","747","1","203","4","199","115","15","5","5","14","5","27","13"
" 1112 - Bureau de vote 1112","767","5","342","6","336","130","82","7","18","30","2","46","21"
" 1113 - Bureau de vote 1113","948","9","477","13","464","132","140","6","18","26","3","114","25"
" 1114 - Bureau de vote 1114","727","5","335","4","331","146","57","12","8","25","6","54","23"
" 1115 - Bureau de vote 1115","837","11","471","8","463","152","153","11","16","25","3","69","34"
