"BUREAU_DE_VOTE","INSCRITS","PROCURATIONS","VOTANTS","NULS","EXPRIMES","JOLY","LE_PEN","SARKOZY","MELENCHON","POUTOU","ARTHAUD","CHEMINADE","BAYROU","DUPONT_AIGNAN","HOLLANDE"
" 0924 - Bureau de vote 0924","598","7","499","9","490","6","56","96","55","5","5","2","71","10","184"
" 1001 - Bureau de vote 1001","893","12","692","6","686","32","61","163","76","9","3","0","66","8","268"
" 1002 - Bureau de vote 1002","805","15","672","15","657","41","40","152","91","4","2","2","70","13","242"
" 1003 - Bureau de vote 1003","837","7","589","13","576","20","68","62","92","8","2","1","31","6","286"
" 1004 - Bureau de vote 1004","922","14","744","7","737","44","57","137","120","12","3","1","81","14","268"
" 1005 - Bureau de vote 1005","716","47","608","5","603","32","38","121","76","7","2","0","59","9","259"
" 1006 - Bureau de vote 1006","696","17","571","5","566","30","39","122","64","3","4","2","65","6","231"
" 1007 - Bureau de vote 1007","745","19","598","7","591","27","51","142","69","13","6","2","71","10","200"
" 1008 - Bureau de vote 1008","666","39","570","12","558","25","46","125","66","3","3","1","60","4","225"
" 1009 - Bureau de vote 1009","562","16","455","6","449","21","24","90","76","3","4","2","55","6","168"
" 1101 - Bureau de vote 1101","686","25","518","15","503","14","62","81","76","3","5","2","32","11","217"
" 1102 - Bureau de vote 1102","960","29","718","16","702","40","61","101","109","7","1","4","63","13","303"
" 1103 - Bureau de vote 1103","796","27","654","8","646","35","42","160","99","5","2","2","68","5","228"
" 1104 - Bureau de vote 1104","801","16","684","9","675","29","69","159","78","8","2","4","85","12","229"
" 1105 - Bureau de vote 1105","694","32","596","11","585","19","32","191","52","2","3","0","79","7","200"
" 1106 - Bureau de vote 1106","629","27","526","2","524","18","43","146","55","3","1","2","57","4","195"
" 1107 - Bureau de vote 1107","743","21","606","3","603","24","58","131","86","6","0","0","52","9","237"
" 1108 - Bureau de vote 1108","681","6","376","4","372","8","36","32","67","2","6","0","12","2","207"
" 1109 - Bureau de vote 1109","538","11","373","4","369","9","36","63","58","4","1","2","22","4","170"
" 1110 - Bureau de vote 1110","861","42","633","9","624","26","85","140","72","8","2","2","53","8","228"
" 1111 - Bureau de vote 1111","721","16","468","8","460","15","46","34","79","13","2","3","27","5","236"
" 1112 - Bureau de vote 1112","763","34","583","14","569","20","37","143","85","3","1","3","56","4","217"
" 1113 - Bureau de vote 1113","972","45","792","9","783","32","66","229","76","5","3","2","103","8","259"
" 1114 - Bureau de vote 1114","715","20","569","8","561","24","59","104","70","8","3","0","48","9","236"
" 1115 - Bureau de vote 1115","827","30","707","8","699","36","60","212","63","8","4","2","77","9","228"
"","","","","","","","","","","","","","","",""
