"BUREAU_DE_VOTE","INSCRITS","PROCURATIONS","VOTANTS","NULS","EXPRIMES","AYRAULT","DEFRANCE","PERALDI","HAROUSSEAU","BRUNEAU"
" 1103 - Bureau de vote 1103","779","","432","21","411","243","31","11","115","11"
" 1104 - Bureau de vote 1104","764","2","438","18","420","237","26","16","122","19"
" 1105 - Bureau de vote 1105","683","7","367","8","359","177","16","14","147","5"
" 1106 - Bureau de vote 1106","700","2","371","13","358","194","32","6","111","15"
" 1107 - Bureau de vote 1107","756","2","417","17","400","256","18","9","99","18"
" 1108 - Bureau de vote 1108","698","1","253","6","247","196","15","1","21","14"
" 1109 - Bureau de vote 1109","552","0","245","5","240","137","14","20","53","16"
" 1110 - Bureau de vote 1110","811","1","415","3","412","229","18","14","133","18"
" 1111 - Bureau de vote 1111","717","","266","6","260","192","13","8","40","7"
" 1112 - Bureau de vote 1112","824","3","401","7","394","208","29","12","125","20"
" 1113 - Bureau de vote 1113","965","4","520","20","500","288","16","16","165","15"
" 1114 - Bureau de vote 1114","756","","369","8","361","223","26","4","98","10"
" 1115 - Bureau de vote 1115","869","9","480","13","467","251","20","11","175","10"
