"BUREAU_DE_VOTE","INSCRITS","PROCURATIONS","VOTANTS","NULS","EXPRIMES","AUXIETTE","BECHU"
" 0710 - Bureau de vote 0710","817","5","338","12","326","272","54"
" 0711 - Bureau de vote 0711","750","13","473","18","455","259","196"
" 0712 - Bureau de vote 0712","812","7","388","13","375","262","113"
" 0713 - Bureau de vote 0713","1044","20","586","21","565","325","240"
" 0714 - Bureau de vote 0714","716","9","350","10","340","227","113"
" 0715 - Bureau de vote 0715","777","10","424","15","409","281","128"
" 0801 - Bureau de vote 0801","667","6","313","17","296","219","77"
" 0802 - Bureau de vote 0802","699","2","284","3","281","244","37"
" 0803 - Bureau de vote 0803","727","8","356","12","344","229","115"
" 0804 - Bureau de vote 0804","837","9","404","15","389","256","133"
" 0805 - Bureau de vote 0805","643","16","387","10","377","173","204"
" 0806 - Bureau de vote 0806","581","2","300","10","290","173","117"
" 0807 - Bureau de vote 0807","1106","16","638","22","616","377","239"
" 0808 - Bureau de vote 0808","1212","16","632","26","606","389","217"
" 0809 - Bureau de vote 0809","793","4","332","11","321","253","68"
" 0810 - Bureau de vote 0810","809","1","449","14","435","329","106"
" 0811 - Bureau de vote 0811","1051","5","497","21","476","361","115"
" 0812 - Bureau de vote 0812","998","8","510","25","485","356","129"
" 0813 - Bureau de vote 0813","792","2","276","6","270","234","36"
" 0814 - Bureau de vote 0814","1120","22","595","26","569","411","158"
" 0815 - Bureau de vote 0815","944","10","504","13","491","375","116"
" 0816 - Bureau de vote 0816","676","2","381","9","372","248","124"
" 0817 - Bureau de vote 0817","983","22","495","15","480","313","167"
" 0818 - Bureau de vote 0818","965","20","500","14","486","315","171"
" 0819 - Bureau de vote 0819","849","1","402","10","392","318","74"
" 0820 - Bureau de vote 0820","898","12","507","17","490","298","192"
" 0901 - Bureau de vote 0901","792","5","360","14","346","222","124"
" 0902 - Bureau de vote 0902","830","8","421","23","398","215","183"
" 0903 - Bureau de vote 0903","877","14","432","17","415","278","137"
" 0904 - Bureau de vote 0904","773","5","480","18","462","263","199"
" 0905 - Bureau de vote 0905","633","5","313","12","301","227","74"
" 0906 - Bureau de vote 0906","943","2","312","15","297","227","70"
" 0907 - Bureau de vote 0907","967","7","428","24","404","296","108"
" 0908 - Bureau de vote 0908","706","1","238","9","229","203","26"
" 0909 - Bureau de vote 0909","694","4","238","11","227","188","39"
" 0910 - Bureau de vote 0910","752","3","365","9","356","278","78"
" 0911 - Bureau de vote 0911","920","8","478","22","456","304","152"
" 0912 - Bureau de vote 0912","767","1","342","19","323","233","90"
" 0913 - Bureau de vote 0913","929","12","518","15","503","407","96"
" 0914 - Bureau de vote 0914","873","9","488","15","473","330","143"
" 0915 - Bureau de vote 0915","822","2","436","12","424","352","72"
" 0916 - Bureau de vote 0916","971","15","630","18","612","427","185"
" 0917 - Bureau de vote 0917","742","9","429","20","409","298","111"
" 0918 - Bureau de vote 0918","1057","8","526","21","505","336","169"
" 0919 - Bureau de vote 0919","848","10","510","17","493","357","136"
" 0920 - Bureau de vote 0920","753","4","394","20","374","313","61"
" 0921 - Bureau de vote 0921","966","12","528","12","516","352","164"
" 0922 - Bureau de vote 0922","1210","20","702","29","673","482","191"
" 0923 - Bureau de vote 0923","834","10","473","22","451","301","150"
" 0924 - Bureau de vote 0924","552","0","269","7","262","202","60"
" 1001 - Bureau de vote 1001","872","2","372","14","358","250","108"
" 1002 - Bureau de vote 1002","808","7","446","14","432","285","147"
" 1003 - Bureau de vote 1003","837","3","308","17","291","248","43"
" 1004 - Bureau de vote 1004","867","7","413","19","394","298","96"
" 1005 - Bureau de vote 1005","737","6","393","9","384","281","103"
" 1006 - Bureau de vote 1006","673","6","372","8","364","254","110"
" 1007 - Bureau de vote 1007","772","4","382","14","368","246","122"
" 1008 - Bureau de vote 1008","696","1","356","5","351","247","104"
" 1009 - Bureau de vote 1009","518","3","248","10","238","178","60"
" 1101 - Bureau de vote 1101","696","7","319","12","307","235","72"
" 1102 - Bureau de vote 1102","906","4","364","16","348","271","77"
" 1103 - Bureau de vote 1103","779","8","398","15","383","263","120"
" 1104 - Bureau de vote 1104","777","5","433","19","414","273","141"
" 1105 - Bureau de vote 1105","686","7","412","25","387","216","171"
" 1106 - Bureau de vote 1106","655","6","365","13","352","215","137"
" 1107 - Bureau de vote 1107","712","4","368","22","346","257","89"
" 1108 - Bureau de vote 1108","678","2","148","2","146","133","13"
" 1109 - Bureau de vote 1109","519","3","215","9","206","161","45"
" 1110 - Bureau de vote 1110","890","5","399","13","386","247","139"
" 1111 - Bureau de vote 1111","747","1","241","8","233","201","32"
" 1112 - Bureau de vote 1112","767","10","361","10","351","227","124"
" 1113 - Bureau de vote 1113","948","14","518","18","500","297","203"
" 1114 - Bureau de vote 1114","727","13","360","16","344","259","85"
" 1115 - Bureau de vote 1115","837","14","465","24","441","251","190"
