BUREAU_DE_VOTE,IDBUREAU,INSCRITS,PROCURATIONS,VOTANTS,NULS,EXPRIMES,FOURAGE,COMBARNOUS,AYRAULT,BREUS,BLINEAU,JOZAN,DEFRANCE,FOURAGE_P,COMBARNOUS_P,AYRAULT_P,BREUS_P,BLINEAU_P,JOZAN_P,DEFRANCE_P
 0601 - Bureau de vote 0601,0601,699,1,287,8,279,16,1,201,2,10,38,11,5.7347670251,0.3584229391,72.0430107527,0.7168458781,3.5842293907,13.6200716846,3.9426523297
 0602 - Bureau de vote 0602,0602,815,4,377,8,369,12,6,241,3,19,84,4,3.2520325203,1.6260162602,65.3116531165,0.8130081301,5.1490514905,22.7642276423,1.0840108401
 0603 - Bureau de vote 0603,0603,749,0,357,7,350,9,3,241,6,13,71,7,2.5714285714,0.8571428571,68.8571428571,1.7142857143,3.7142857143,20.2857142857,2
 0604 - Bureau de vote 0604,0604,831,12,476,14,462,23,0,227,3,42,160,7,4.9783549784,0,49.1341991342,0.6493506494,9.0909090909,34.632034632,1.5151515152
 0605 - Bureau de vote 0605,0605,1086,7,624,10,614,9,3,280,3,56,257,6,1.4657980456,0.4885993485,45.6026058632,0.4885993485,9.1205211726,41.8566775244,0.9771986971
 0606 - Bureau de vote 0606,0606,925,12,506,9,497,17,6,232,10,41,188,3,3.4205231388,1.2072434608,46.6800804829,2.0120724346,8.2494969819,37.8269617706,0.6036217304
 0607 - Bureau de vote 0607,0607,929,6,510,12,498,12,2,320,4,26,129,5,2.4096385542,0.4016064257,64.2570281124,0.8032128514,5.2208835341,25.9036144578,1.0040160643
 0608 - Bureau de vote 0608,0608,980,10,555,12,543,13,7,278,3,47,187,8,2.394106814,1.2891344383,51.197053407,0.5524861878,8.6556169429,34.438305709,1.4732965009
 0609 - Bureau de vote 0609,0609,738,6,432,13,419,13,1,264,2,25,113,1,3.1026252983,0.2386634845,63.0071599045,0.477326969,5.9665871122,26.968973747,0.2386634845
 0610 - Bureau de vote 0610,0610,1095,14,651,16,635,14,7,342,6,45,214,7,2.2047244094,1.1023622047,53.8582677165,0.9448818898,7.0866141732,33.7007874016,1.1023622047
