X,Y,Z,IDOBJ,IDBURO,NUMERO,LIEU_VOT,LIEU_NOM,LIEU_SITE,LIEU_ADRES,CODCOM,COMMUNE,inscrits,2444004040,24440040_1,24440040_2,24440040_3,24440040_4,24440040_5,24440040_6,24440040_7,24440040_8,24440040_9,2444004010,2444004011,2444004012,2444004013,2444004014,2444004015,2444004016,2444004017,2444004018,2444004019
-1.544092277749189,47.23047594628656,0, 1090208,0208, 8, 7,Coudray,Ecole Elementaire,20 Rue du Coudray,  440109,Nantes,447,0208 - Bureau de vote 0208,768,23,447,4,443,17,13,194,3,34,180,2,3.8374717833,2.934537246,43.7923250564,0.6772009029,7.6749435666,40.6320541761,0.4514672686
-1.545263719618348,47.233712335279023,0, 1090209,0209, 9, 7,Coudray,Ecole Elementaire,20 Rue du Coudray,  440109,Nantes,493,0209 - Bureau de vote 0209,751,14,493,4,489,14,10,248,3,38,169,7,2.8629856851,2.0449897751,50.7157464213,0.6134969325,7.7709611452,34.5603271984,1.4314928425
-1.539860264533727,47.232855141478765,0, 1090210,0210,10, 7,Coudray,Ecole Elementaire,20 Rue du Coudray,  440109,Nantes,438,0210 - Bureau de vote 0210,767,11,438,5,433,8,6,222,0,37,154,6,1.8475750577,1.3856812933,51.2702078522,0,8.545034642,35.5658198614,1.3856812933
-1.539942734344985,47.227036898686144,0, 1090211,0211,11, 8,Agents,Ecole Maternelle,24 Rue Casterneau,  440109,Nantes,407,0211 - Bureau de vote 0211,804,17,407,15,392,17,9,144,3,25,189,5,4.3367346939,2.2959183673,36.7346938776,0.7653061224,6.3775510204,48.2142857143,1.2755102041
-1.535719005634132,47.227128777900127,0, 1090212,0212,12, 8,Agents,Ecole Maternelle,24 Rue Casterneau,  440109,Nantes,502,0212 - Bureau de vote 0212,888,21,502,9,493,6,4,213,1,50,216,3,1.2170385396,0.8113590264,43.2048681542,0.2028397566,10.1419878296,43.8133874239,0.6085192698
-1.534241075460754,47.231439276267125,0, 1090213,0213,13, 8,Agents,Ecole Maternelle,24 Rue Casterneau,  440109,Nantes,484,0213 - Bureau de vote 0213,764,9,484,8,476,14,12,261,3,28,153,5,2.9411764706,2.5210084034,54.8319327731,0.6302521008,5.8823529412,32.1428571429,1.0504201681
-1.530353303302697,47.229169781204298,0, 1090214,0214,14, 8,Agents,Ecole Maternelle,24 Rue Casterneau,  440109,Nantes,433,0214 - Bureau de vote 0214,783,7,433,2,431,12,8,260,2,24,118,7,2.7842227378,1.8561484919,60.3248259861,0.464037123,5.5684454756,27.3781902552,1.6241299304
-1.530318067180646,47.226683460278132,0, 1090215,0215,15, 8,Agents,Ecole Maternelle,24 Rue Casterneau,  440109,Nantes,421,0215 - Bureau de vote 0215,668,7,421,7,414,22,5,244,7,22,106,8,5.3140096618,1.2077294686,58.9371980676,1.690821256,5.3140096618,25.6038647343,1.9323671498
-1.525326828696746,47.221888404540039,0, 1090216,0216,16, 9,Louis Guiotton,Ecole Maternelle,7 Rue Champenois,  440109,Nantes,489,0216 - Bureau de vote 0216,952,13,489,15,474,26,12,279,3,27,120,7,5.4852320675,2.5316455696,58.8607594937,0.6329113924,5.6962025316,25.3164556962,1.4767932489
-1.525585916700462,47.223835935617842,0, 1090217,0217,17, 9,Louis Guiotton,Ecole Maternelle,7 Rue Champenois,  440109,Nantes,499,0217 - Bureau de vote 0217,811,12,499,12,487,17,11,267,7,44,138,3,3.4907597536,2.2587268994,54.8254620123,1.4373716632,9.0349075975,28.3367556468,0.6160164271
-1.526989370294143,47.226028531447383,0, 1090218,0218,18, 9,Louis Guiotton,Ecole Maternelle,7 Rue Champenois,  440109,Nantes,541,0218 - Bureau de vote 0218,871,13,541,11,530,12,7,325,10,41,130,5,2.2641509434,1.320754717,61.320754717,1.8867924528,7.7358490566,24.5283018868,0.9433962264
-1.531911411609582,47.222291818882084,0, 1090219,0219,19, 9,Louis Guiotton,Ecole Maternelle,7 Rue Champenois,  440109,Nantes,557,0219 - Bureau de vote 0219,1174,10,557,11,546,20,6,319,6,37,136,22,3.663003663,1.0989010989,58.4249084249,1.0989010989,6.7765567766,24.9084249084,4.0293040293
-1.524091810871064,47.217176717500791,0, 1090220,0220,20,10,Jean Moulin,Ecole Maternelle,1 Rue du Portugal,  440109,Nantes,412,0220 - Bureau de vote 0220,934,6,412,10,402,15,5,334,6,16,20,6,3.7313432836,1.2437810945,83.0845771144,1.4925373134,3.9800995025,4.9751243781,1.4925373134
-1.536772725441795,47.215294671113504,0, 1090221,0221,21,11,Henri Bergson,Ecole Maternelle,5 Rue du Luxembourg,  440109,Nantes,463,0221 - Bureau de vote 0221,1103,6,463,7,456,18,5,346,4,16,62,5,3.9473684211,1.0964912281,75.8771929825,0.8771929825,3.5087719298,13.5964912281,1.0964912281
-1.542711994200272,47.219610840257751,0, 1090222,0222,22,12,Stalingrad,Ecole Elementaire,12 Boulevard Stalingrad,  440109,Nantes,432,0222 - Bureau de vote 0222,838,12,432,3,429,24,21,237,1,22,117,7,5.5944055944,4.8951048951,55.2447552448,0.2331002331,5.1282051282,27.2727272727,1.6317016317
