IDBURO,NUMERO,LIEU_VOT,LIEU_NOM,LIEU_SITE,LIEU_ADRES,CODCOM,COMMUNE,inscrits,X,Y
0515,15,26,Plessis-Cellier,Ecole Maternelle,59 Rue des Alouettes,  440109,Nantes,364,-1.609810814073302,47.20458363793967
0516,16,48,Jean Zay,Groupe Scolaire,19 Rue Yves Kartel,  440109,Nantes,342,-1.607945311565091,47.206588988810537
0517,17,48,Jean Zay,Groupe Scolaire,19 Rue Yves Kartel,  440109,Nantes,293,-1.608608700217459,47.208286488543855
0518,18,48,Jean Zay,Groupe Scolaire,19 Rue Yves Kartel,  440109,Nantes,355,-1.6068591313827,47.209248174636031
0601, 1,27,Jacques Prvert,Ecole Elementaire,34 Rue du Breil,  440109,Nantes,287,-1.587716669740507,47.231391109096293
0602, 2,27,Jacques Prvert,Ecole Elementaire,34 Rue du Breil,  440109,Nantes,377,-1.586551727192842,47.228882731889115
0603, 3,27,Jacques Prvert,Ecole Elementaire,34 Rue du Breil,  440109,Nantes,357,-1.582895896694989,47.229856973971359
0604, 4,27,Jacques Prvert,Ecole Elementaire,34 Rue du Breil,  440109,Nantes,476,-1.581739530316699,47.232709335609592
0605, 5,27,Jacques Prvert,Ecole Elementaire,34 Rue du Breil,  440109,Nantes,624,-1.576177884043104,47.230182510236972
0606, 6,28,Longchamp,Ecole Primaire,6 Rue du Vlodrome de Longchamp,  440109,Nantes,506,-1.575912518429854,47.242276985862652
0607, 7,28,Longchamp,Ecole Primaire,6 Rue du Vlodrome de Longchamp,  440109,Nantes,510,-1.580645541892953,47.241933702151904
0608, 8,28,Longchamp,Ecole Primaire,6 Rue du Vlodrome de Longchamp,  440109,Nantes,555,-1.576595961611176,47.23841051729422
0609, 9,28,Longchamp,Ecole Primaire,6 Rue du Vlodrome de Longchamp,  440109,Nantes,432,-1.586145140124002,47.240387436940921
0610,10,28,Longchamp,Ecole Primaire,6 Rue du Vlodrome de Longchamp,  440109,Nantes,651,-1.58278332335568,47.237250900635807
0611,11,28,Longchamp,Ecole Primaire,6 Rue du Vlodrome de Longchamp,  440109,Nantes,600,-1.572648581175893,47.236085177005336
0612,12,28,Longchamp,Ecole Primaire,6 Rue du Vlodrome de Longchamp,  440109,Nantes,577,-1.569749526399743,47.23340172137118
0613,13,28,Longchamp,Ecole Primaire,6 Rue du Vlodrome de Longchamp,  440109,Nantes,566,-1.576537597125017,47.23359624362346
0614,14,29,Charles Lebourg,Ecole Primaire,46 Boulevard Henry Orrion,  440109,Nantes,559,-1.565729046271656,47.236320106846406
0615,15,29,Charles Lebourg,Ecole Primaire,46 Boulevard Henry Orrion,  440109,Nantes,531,-1.560553984128552,47.238404507049182
0616,16,29,Charles Lebourg,Ecole Primaire,46 Boulevard Henry Orrion,  440109,Nantes,587,-1.554183838554287,47.237928616903204
0617,17,30,Barberie Mulotire,Ecole Elementaire,Rue Pierre Yvernogeau,  440109,Nantes,587,-1.564640016129315,47.241021668371687
0618,18,30,Barberie Mulotire,Ecole Elementaire,Rue Pierre Yvernogeau,  440109,Nantes,535,-1.570131229733241,47.242198742207506
0619,19,30,Barberie Mulotire,Ecole Elementaire,Rue Pierre Yvernogeau,  440109,Nantes,563,-1.573525187656065,47.244331669150959
0701, 1,31,Chauvinire,Ecole Maternelle,32 Boulevard de la Chauvinire,  440109,Nantes,405,-1.563906712325385,47.246107053591032
0702, 2,31,Chauvinire,Ecole Maternelle,32 Boulevard de la Chauvinire,  440109,Nantes,567,-1.573553987871681,47.247391709807694
0703, 3,31,Chauvinire,Ecole Maternelle,32 Boulevard de la Chauvinire,  440109,Nantes,603,-1.572425197109375,47.251329492863171
0704, 4,31,Chauvinire,Ecole Maternelle,32 Boulevard de la Chauvinire,  440109,Nantes,338,-1.569522546166242,47.25438005495355
0705, 5,31,Chauvinire,Ecole Maternelle,32 Boulevard de la Chauvinire,  440109,Nantes,453,-1.573135998738993,47.256752573340805
0706, 6,31,Chauvinire,Ecole Maternelle,32 Boulevard de la Chauvinire,  440109,Nantes,422,-1.574452790247436,47.258829104045397
0707, 7,31,Chauvinire,Ecole Maternelle,32 Boulevard de la Chauvinire,  440109,Nantes,559,-1.578373796094246,47.259400419920112
0708, 8,32,Franoise Dolto,Ecole Primaire,3B Rue de Concarneau,  440109,Nantes,385,-1.583213774532795,47.268952897504136
0709, 9,32,Franoise Dolto,Ecole Primaire,3B Rue de Concarneau,  440109,Nantes,465,-1.567020662014127,47.265470994645618
0710,10,33,Baut,Ecole Maternelle,4 Rue des Renards,  440109,Nantes,415,-1.567716809998836,47.259203395185907
0711,11,33,Baut,Ecole Maternelle,4 Rue des Renards,  440109,Nantes,522,-1.559951113919143,47.257697442090006
0712,12,33,Baut,Ecole Maternelle,4 Rue des Renards,  440109,Nantes,463,-1.563868756051166,47.252860199954242
0713,13,33,Baut,Ecole Maternelle,4 Rue des Renards,  440109,Nantes,652,-1.556431758930334,47.251517135594504
0714,14,33,Baut,Ecole Maternelle,4 Rue des Renards,  440109,Nantes,398,-1.549200113688348,47.247589746389828
0715,15,33,Baut,Ecole Maternelle,4 Rue des Renards,  440109,Nantes,464,-1.547005762436235,47.25433993330666
0801, 1,34,Port Boyer,Ecole Maternelle,51 Rue de l'Eraudire,  440109,Nantes,390,-1.53931935512565,47.239867352554377
0802, 2,34,Port Boyer,Ecole Maternelle,51 Rue de l'Eraudire,  440109,Nantes,345,-1.54378077547067,47.241010178103579
0803, 3,34,Port Boyer,Ecole Maternelle,51 Rue de l'Eraudire,  440109,Nantes,428,-1.547076704070685,47.237837732473039
0804, 4,34,Port Boyer,Ecole Maternelle,51 Rue de l'Eraudire,  440109,Nantes,481,-1.542463111801953,47.236292754879926
0805, 5,34,Port Boyer,Ecole Maternelle,51 Rue de l'Eraudire,  440109,Nantes,408,-1.536547066457549,47.236756656738415
0806, 6,34,Port Boyer,Ecole Maternelle,51 Rue de l'Eraudire,  440109,Nantes,358,-1.534604047793071,47.239490891028609
0807, 7,35,Marsauderies,Ecole Elementaire,1 Rue de la Bertinire,  440109,Nantes,662,-1.54066450118051,47.245934377781332
0808, 8,35,Marsauderies,Ecole Elementaire,1 Rue de la Bertinire,  440109,Nantes,689,-1.535127445541862,47.248738390119939
0809, 9,35,Marsauderies,Ecole Elementaire,1 Rue de la Bertinire,  440109,Nantes,401,-1.526625920616421,47.247770669510963
0810,10,36,Beaujoire,Ecole Elementaire,10 Rue de la Gare de Saint Joseph,  440109,Nantes,492,-1.521391493157277,47.26251148947383
0811,11,36,Beaujoire,Ecole Elementaire,10 Rue de la Gare de Saint Joseph,  440109,Nantes,581,-1.513330261582587,47.258290176558425
0812,12,36,Beaujoire,Ecole Elementaire,10 Rue de la Gare de Saint Joseph,  440109,Nantes,608,-1.529065212029462,47.25837992076476
0813,13,36,Beaujoire,Ecole Elementaire,10 Rue de la Gare de Saint Joseph,  440109,Nantes,301,-1.520880133615407,47.252698140001392
0814,14,37,Louis Pergaud,Maison des associations,478 Route de Saint Joseph,  440109,Nantes,691,-1.528859437567502,47.267968652606221
0815,15,37,Louis Pergaud,Maison des associations,478 Route de Saint Joseph,  440109,Nantes,573,-1.509729558459131,47.26840273641529
0816,16,37,Louis Pergaud,Maison des associations,478 Route de Saint Joseph,  440109,Nantes,399,-1.519912640779764,47.287159430326994
0817,17,35,Marsauderies,Ecole Elementaire,1 Rue de la Bertinire,  440109,Nantes,520,-1.532487413938066,47.243737069161703
0818,18,35,Marsauderies,Ecole Elementaire,1 Rue de la Bertinire,  440109,Nantes,535,-1.533980291485185,47.252495471730995
0819,19,37,Louis Pergaud,Maison des associations,478 Route de Saint Joseph,  440109,Nantes,483,-1.522804503651643,47.271276763739372
0820,20,37,Louis Pergaud,Maison des associations,478 Route de Saint Joseph,  440109,Nantes,547,-1.514655935624107,47.275662242185192
0901, 1,38,Franois Dallet,Ecole Elementaire,148 Boulevard des Poilus,  440109,Nantes,452,-1.530204512071482,47.237810236772056
0902, 2,38,Franois Dallet,Ecole Elementaire,148 Boulevard des Poilus,  440109,Nantes,486,-1.532323308286428,47.235048688485797
0903, 3,38,Franois Dallet,Ecole Elementaire,148 Boulevard des Poilus,  440109,Nantes,476,-1.527026673328062,47.231671163150359
0904, 4,38,Franois Dallet,Ecole Elementaire,148 Boulevard des Poilus,  440109,Nantes,497,-1.525767449451963,47.235021449551219
0905, 5,39,Urbain Leverrier,Ecole Maternelle,83 Rue Flix Mntrier,  440109,Nantes,354,-1.52717510950973,47.239258433770068
0906, 6,39,Urbain Leverrier,Ecole Maternelle,83 Rue Flix Mntrier,  440109,Nantes,421,-1.521073296403614,47.237513017252255
0907, 7,39,Urbain Leverrier,Ecole Maternelle,83 Rue Flix Mntrier,  440109,Nantes,539,-1.524451905248212,47.240658186888595
0908, 8,39,Urbain Leverrier,Ecole Maternelle,83 Rue Flix Mntrier,  440109,Nantes,311,-1.517989743913641,47.240117644093054
0909, 9,39,Urbain Leverrier,Ecole Maternelle,83 Rue Flix Mntrier,  440109,Nantes,353,-1.521377925927301,47.243057066912456
0910,10,39,Urbain Leverrier,Ecole Maternelle,83 Rue Flix Mntrier,  440109,Nantes,448,-1.522825740415774,47.245297710709792
0911,11,40,Maurice Mac,Ecole Maternelle,22 Rue du Pontereau,  440109,Nantes,494,-1.502522754482245,47.253168951956702
0912,12,40,Maurice Mac,Ecole Maternelle,22 Rue du Pontereau,  440109,Nantes,411,-1.51176070227601,47.247919859920977
0913,13,40,Maurice Mac,Ecole Maternelle,22 Rue du Pontereau,  440109,Nantes,578,-1.510875070853616,47.236987045191398
0914,14,40,Maurice Mac,Ecole Maternelle,22 Rue du Pontereau,  440109,Nantes,580,-1.500731334327171,47.241762841546922
0915,15,40,Maurice Mac,Ecole Maternelle,22 Rue du Pontereau,  440109,Nantes,484,-1.494238586540759,47.230922168347632
0916,16,40,Maurice Mac,Ecole Maternelle,22 Rue du Pontereau,  440109,Nantes,690,-1.50882257870919,47.233322821182654
